# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.3000000000     -934.4329698490
        0.4000000000     -995.1306965450
        0.5000000000    -1020.4456440900
        0.6000000000    -1032.7982344100
        0.7000000000    -1039.8075324700
        0.8000000000    -1044.4625698700
        0.9000000000    -1047.5629922100
        1.0000000000    -1049.5705377100
        1.1000000000    -1050.8214910600
        1.2000000000    -1051.5894263500
        1.3000000000    -1052.0575923200
        1.4000000000    -1052.3952155800
        1.5000000000    -1052.6936514300
        1.6000000000    -1052.9246658200
        1.7000000000    -1053.1022367400
        1.8000000000    -1053.2371533500
        1.9000000000    -1053.3384612000
        2.0000000000    -1053.4137360400
        2.1000000000    -1053.4691767900
        2.2000000000    -1053.5097169200
        2.3000000000    -1053.5391870200
        2.4000000000    -1053.5605047800
        2.5000000000    -1053.5758614900
        2.6000000000    -1053.5868850100
        2.7000000000    -1053.5947733600
        2.8000000000    -1053.6004011800
        2.9000000000    -1053.6044032700
        3.0000000000    -1053.6072389000
        3.1000000000    -1053.6092400100
        3.2000000000    -1053.6106464300
        3.3000000000    -1053.6116310900
        3.4000000000    -1053.6123181600
        3.5000000000    -1053.6127962500
        3.6000000000    -1053.6131280800
        3.7000000000    -1053.6133578600
        3.8000000000    -1053.6135166100
        3.9000000000    -1053.6136260600
        4.0000000000    -1053.6137014000
        4.1000000000    -1053.6137532200
        4.2000000000    -1053.6137888700
        4.3000000000    -1053.6138133900
        4.4000000000    -1053.6138302300
        4.5000000000    -1053.6138417300
        4.6000000000    -1053.6138494800
        4.7000000000    -1053.6138546000
        4.8000000000    -1053.6138578600
        4.9000000000    -1053.6138598100
        5.0000000000    -1053.6138608400
        5.1000000000    -1053.6138612600
        5.2000000000    -1053.6138612600
        5.3000000000    -1053.6138609800
